"","Lote","Acido","Tiempo","Ingrediente","Rendimiento"
"1",1,1,"A","a",26
"2",2,1,"B","c",18
"3",3,1,"C","e",20
"4",4,1,"D","b",15
"5",5,1,"E","d",10
"6",1,2,"B","b",16
"7",2,2,"C","d",21
"8",3,2,"D","a",12
"9",4,2,"E","c",15
"10",5,2,"A","e",24
"11",1,3,"C","c",19
"12",2,3,"D","e",18
"13",3,3,"E","b",16
"14",4,3,"A","d",22
"15",5,3,"B","a",17
"16",1,4,"D","d",16
"17",2,4,"E","a",11
"18",3,4,"A","c",25
"19",4,4,"B","e",14
"20",5,4,"C","b",17
"21",1,5,"E","e",13
"22",2,5,"A","b",21
"23",3,5,"B","d",13
"24",4,5,"C","a",17
"25",5,5,"D","c",14
